definition,example,pos,synonyms,word
"make (a problem, bad situation, or negative feeling) worse.",the exorbitant cost of land in urban areas only exacerbated the problem,verb,"['aggravate', 'make worse', 'worsen', 'inflame', 'compound']",exacerbated
a specialized segment of the market for a particular kind of product or service.,he believes he has found a niche in the market,noun,,niches
walk in a leisurely way.,I strolled around the city,verb,"['saunter', 'amble', 'wander', 'meander', 'ramble', 'dawdle', 'promenade', 'walk', 'go for a walk', 'take a walk', 'roam', 'traipse', ""stretch one's legs"", 'get some exercise', 'get some air', 'take the air']",stroll
not justified or authorized.,I am sure your fears are unwarranted,adjective,"['unjustified', 'unjustifiable', 'indefensible', 'inexcusable', 'unforgivable', 'unpardonable', 'uncalled for', 'gratuitous', 'unnecessary', 'undue', 'unreasonable', 'unjust', 'groundless', 'inappropriate', 'unsuitable', 'unseemly', 'unbecoming', 'improper', 'ill-advised', 'excessive', 'immoderate', 'disproportionate', 'inordinate']",unwarranted
"a discernible change in opinion, especially the amount by which votes or points scored change from one side to another.",a five per cent swing to Labour,noun,"['change', 'move']",swing
ostentatiously costly and luxurious.,the opulent comfort of a limousine,adjective,"['luxurious', 'sumptuous', 'palatial', 'lavishly appointed', 'lavish', 'deluxe', 'rich', 'lush', 'luxuriant', 'splendid', 'magnificent', 'grand', 'grandiose', 'costly', 'expensive', 'fancy']",opulent
be on each or on one side of.,"the three defendants stood in the dock, flanked by police officers",verb,"['edge', 'bound', 'line', 'border', 'fringe', 'skirt', 'be situated along']",flanked
an act of swinging.,"with the swing of her arm, the knife flashed through the air",noun,"['swaying', 'oscillation', 'undulation']",swing
an approach or proposal made to someone with the aim of opening negotiations or establishing a relationship.,he began making overtures to British merchant banks,noun,"['opening move', 'conciliatory move', 'move', 'approach', 'advances', 'feeler', 'signal', 'proposal', 'proposition', 'pass', 'offer', 'tender', 'suggestion']",overtures
feel or show great joy or delight.,we spent the evening rejoicing at our victory,verb,"['happiness', 'pleasure', 'joy', 'gladness', 'delight', 'elation', 'cheer', 'jubilation', 'euphoria', 'delirium', 'ecstasy', 'rapture', 'transports of delight', 'exuberance', 'exultation', 'glory', 'triumph', 'celebration', 'revelry', 'merrymaking', 'festivity', 'feasting']",rejoice
money.,they wanted to spend their newly acquired brass,noun,,brass
a sleep-inducing drug.,hypnotics may be prescribed,noun,,hypnotic
push suddenly or violently in a specified direction.,she thrust her hands into her pockets,verb,"['shove', 'push', 'propel', 'impel']",thrust
to an unwarranted degree; inordinately.,there is no need to be unduly alarmed,adverb,"['excessively', 'immoderately', 'intemperately', 'disproportionately', 'out of all proportion', 'inordinately']",unduly
place (something) in a niche.,these elements were niched within the shadowy reaches,verb,,niches
an introduction to something more substantial.,the talks were no more than an overture to a long debate,noun,"['preliminary', 'prelude', 'curtain-raiser', 'introduction', 'lead-in', 'precursor', 'forerunner', 'harbinger', 'herald', 'start', 'beginning']",overtures
(in art or literature) construction or creation from a diverse range of available things.,the chaotic bricolage of the novel is brought together in a unifying gesture,noun,,bricolage
(chiefly of aircraft) designed in accordance with technology which makes detection by radar or sonar difficult.,a stealth bomber,noun,,stealth
"a long weapon with a wooden shaft and a pointed steel head, formerly used by a horseman in charging.",the warriors bore lances tipped with iron or steel,noun,"['spear', 'pike', 'javelin', 'bayonet', 'shaft']",lance
an arrival or entry of large numbers of people or things.,a massive influx of tourists,noun,"['inundation', 'inrush', 'rush', 'stream', 'flood', 'incursion', 'ingress']",influx
outstandingly bad; shocking.,egregious abuses of copyright,adjective,,egregious
a short leisurely walk.,we took a stroll in the garden,noun,"['saunter', 'amble', 'wander', 'walk', 'turn', 'promenade', 'airing', 'breather']",stroll
people in authority or of high military rank.,the top brass of the Jockey Club,noun,,brass
prick or cut open (an abscess or boil) with a lancet or other sharp instrument.,abscesses should not be lanced until there is a soft spot in the centre,verb,,lance
"(of hair, fur, or skin) smooth and glossy.","he was tall, with sleek, dark hair",adjective,"['smooth', 'glossy', 'shiny', 'shining', 'gleaming', 'lustrous', 'silken', 'silky', 'satiny', 'velvety', 'sheeny']",sleek
a yellow alloy of copper and zinc.,a brass plate on the door,noun,,brass
a risky or daring journey or undertaking.,pioneering ventures into little-known waters,noun,,venture
"shift or cause to shift from one opinion, mood, or state of affairs to another.",opinion swung in the Chancellor's favour,verb,"['change', 'fluctuate', 'oscillate', 'waver', 'alternate', 'see-saw', 'yo-yo', 'vary', 'shift', 'alter', 'undulate', 'ebb and flow', 'rise and fall', 'go up and down', 'go back and forth']",swing
undertake a risky or daring journey or course of action.,she ventured out into the blizzard,verb,"['travel', 'journey', 'go', 'move', 'proceed', 'progress', 'set out', 'set forth', 'rove']",venture
